test,UniqueID,Gene.Name,logFC,P.Value,Adj.P.Value
DEG.wk52,ENSG00000230124,ACBD6,0.080257727,0.001746046,0.012455356
DEG.wk52,ENSG00000230131,LINC02641,0.047442442,0.653484677,0.792896639
DEG.wk52,ENSG00000230138,LINC02812,0.000199731,0.99788918,0.999267937
DEG.wk52,ENSG00000230148,HOXB-AS1,0.045545461,0.561491077,0.728837922
DEG.wk52,ENSG00000230149,AL021707.3,-0.61490948,3.86e-11,1.98e-09
DEG.wk52,ENSG00000230155,CEP250-AS1,0.024975283,0.627309809,0.776434622
DEG.wk52,ENSG00000230185,C9orf147,0.034315289,0.746937436,0.854320467
DEG.wk52,ENSG00000230225,MTND5P14,-0.246676519,0.000348065,0.00337793
DEG.wk52,ENSG00000230257,NFE4,-0.021780675,0.768228985,0.867069683
DEG.wk52,ENSG00000230266,XXYLT1-AS2,-0.07526839,0.524767833,0.700424926
DEG.wk52,ENSG00000230267,HERC2P4,0.086891114,0.462906501,0.651904468
DEG.wk52,ENSG00000230303,AL353743.2,0.087821081,0.336969418,0.53755493
DEG.wk52,ENSG00000230312,AC234782.1,-0.024573523,0.822979608,0.900666117
DEG.wk52,ENSG00000230317,LINC01284,-0.117612786,0.119687357,0.276781777
DEG.wk52,ENSG00000230359,TPI1P2,-0.105283752,0.208358604,0.395272699
DEG.wk52,ENSG00000230366,DSCR9,0.178477577,0.103537332,0.250432909
DEG.wk52,ENSG00000230368,FAM41C,-0.119654716,0.117911832,0.273976509
DEG.wk52,ENSG00000230373,GOLGA6L5P,0.173274546,0.002331616,0.015701956
DEG.wk52,ENSG00000230397,SPTLC1P1,0.002093577,0.985566487,0.992487714
DEG.wk52,ENSG00000230409,TCEA1P2,-0.020151105,0.809279962,0.892222369
DEG.wk52,ENSG00000230426,ERVMER61-1,0.041233885,0.566885068,0.733042431
DEG.wk52,ENSG00000230438,SERPINB9P1,-0.198417586,5.28e-06,9.49e-05
DEG.wk52,ENSG00000230454,U73166.1,-0.288465321,5.52e-06,9.85e-05
DEG.wk52,ENSG00000230457,PA2G4P4,0.067238194,0.238585078,0.431047655
DEG.wk52,ENSG00000230487,PSMG3-AS1,-0.121548826,0.009132889,0.045028248
DEG.wk52,ENSG00000230510,PPP5D1,0.119098222,0.054474378,0.163685118
DEG.wk52,ENSG00000230513,THAP7-AS1,0.097292175,0.072308391,0.198504958
DEG.wk52,ENSG00000230530,LIMD1-AS1,0.063618176,0.111281754,0.26375516
DEG.wk52,ENSG00000230537,AL158071.3,0.191199867,0.011546161,0.053314193
DEG.wk52,ENSG00000230539,AOAH-IT1,-0.043648033,0.437266701,0.62999645
DEG.wk52,ENSG00000230551,AC021078.1,0.013061539,0.718435194,0.83678511
DEG.wk52,ENSG00000230555,AL450326.1,-0.025195178,0.821707062,0.899662231
DEG.wk52,ENSG00000230562,FAM133DP,-0.06321537,0.5342906,0.707671092
DEG.wk52,ENSG00000230581,ACTG1P14,-0.001784976,0.975836644,0.987681067
DEG.wk52,ENSG00000230587,LINC02580,-0.074307518,0.111755651,0.264520006
DEG.wk52,ENSG00000230590,FTX,-0.094490056,0.023819242,0.090835743
DEG.wk52,ENSG00000230606,AC092683.1,0.008347523,0.878973497,0.934576655
DEG.wk52,ENSG00000230615,AL139220.2,-0.015445545,0.884792723,0.937940776
