gene_name,Pathways,Color
Fnip2,Other Pathways,Gray90
Erdr1,Other Pathways,Gray90
Gm20559,Other Pathways,Gray90
Samd9l,Other Pathways,Gray90
Amer2,Other Pathways,Gray90
Gm26714,Other Pathways,Gray90
AU020206,Other Pathways,Gray90
Gm26740,Other Pathways,Gray90
Gm15964,Other Pathways,Gray90
Mmp14,Other Pathways,Gray90
Coro2a,Other Pathways,Gray90
Capg,Other Pathways,Gray90
Pxdc1,Other Pathways,Gray90
Lgals9,Other Pathways,Gray90
4933406J10Rik,Other Pathways,Gray90
1810011O10Rik,Other Pathways,Gray90
Pstpip1,Other Pathways,Gray90
Rasa4,Other Pathways,Gray90
Iffo1,Other Pathways,Gray90
Mlxipl,Other Pathways,Gray90
Dok3,Other Pathways,Gray90
Hps4,Other Pathways,Gray90
BC005561,Other Pathways,Gray90
Pnn,Other Pathways,Gray90
Phf3,Other Pathways,Gray90
Setd2,Other Pathways,Gray90
9830147E19Rik,Other Pathways,Gray90
Nsmf,Other Pathways,Gray90
Vps16,Other Pathways,Gray90
Slc22a17,Other Pathways,Gray90
Neat1,Other Pathways,Gray90
Ctla2b,Other Pathways,Gray90
Xkr6,Other Pathways,Gray90
Gm26637,Other Pathways,Gray90
Afmid,Other Pathways,Gray90
Nupr1,Other Pathways,Gray90
Csf2ra,Other Pathways,Gray90
Tcta,Other Pathways,Gray90
Tbxas1,Other Pathways,Gray90
Ppfia4,Other Pathways,Gray90
Lpcat2,Other Pathways,Gray90
Fcgr2b,Other Pathways,Gray90
Zfp444,Other Pathways,Gray90
Bin2,Other Pathways,Gray90
Acvrl1,Other Pathways,Gray90
Spns2,Other Pathways,Gray90
Tmem50b,Other Pathways,Gray90
Slc11a1,Other Pathways,Gray90
Amz1,Other Pathways,Gray90
Sec14l2,Other Pathways,Gray90
Limd1,Other Pathways,Gray90
Syt11,Other Pathways,Gray90
Arsg,Other Pathways,Gray90
Dgkz,Other Pathways,Gray90
B4galnt1,Other Pathways,Gray90
Inafm1,Other Pathways,Gray90
Myo1b,Other Pathways,Gray90
Lat2,Other Pathways,Gray90
Smim3,Other Pathways,Gray90
Gm8995,Other Pathways,Gray90
Bhlhe41,Other Pathways,Gray90
Ncoa6,Other Pathways,Gray90
Ep300,Other Pathways,Gray90
Thrap3,Other Pathways,Gray90
Sbf2,Other Pathways,Gray90
Dusp6,Other Pathways,Gray90
Arl4c,Other Pathways,Gray90
Rgs14,Other Pathways,Gray90
Slco4a1,Other Pathways,Gray90
Nudt4,Other Pathways,Gray90
Klhl6,Other Pathways,Gray90
Impact,Other Pathways,Gray90
Zfp414,Other Pathways,Gray90
Lgmn,Other Pathways,Gray90
Paqr7,Other Pathways,Gray90
Coro1a,Other Pathways,Gray90
Ptpn6,Other Pathways,Gray90
Hck,Other Pathways,Gray90
